code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,1163,0.068314,0.084812,20160106,20181018,0.198667,20181018,20200805,-0.270404,0.014413,0.057643,0.001171,0.248930,12.800000,0.034217,20190225,0.015456,-0.548279,20160107,-0.022727,-1.664215,0.006347,20200706,0.021025,2.312631,20160125,-0.022576,-4.557003,0.015723,20200701,0.040594,1.581766,20160104,-0.062205,-4.956184,0.073411,20190102,0.074420,0.013745,20160104,-0.064427,-1.877615,开放式;混合型 ;高风险,20011218
000003,1163,-0.079265,0.319184,20160104,20181018,0.443645,20181018,20200709,-0.360772,-0.016724,0.129510,0.004542,0.597943,5.328767,0.067396,20200706,0.059406,-0.118559,20200203,-0.066640,-1.988784,0.016632,20200629,0.129065,6.760245,20180205,-0.062563,-4.761706,0.036631,20200701,0.126719,2.459296,20160104,-0.091429,-3.495903,0.176419,20190102,0.218527,0.238681,20160104,-0.167347,-1.948574,开放式;债券型 ;低风险,20130320
000004,1163,-0.089078,0.325243,20160104,20181018,0.441247,20181018,20200709,-0.375697,-0.018794,0.129876,0.004659,0.597943,5.328767,0.068258,20200706,0.059459,-0.128907,20200203,-0.066640,-1.976297,0.016689,20200629,0.130346,6.810249,20200713,-0.062659,-4.754467,0.036724,20200701,0.125971,2.430176,20160104,-0.091424,-3.489462,0.179129,20190102,0.221165,0.234669,20160104,-0.170712,-1.953010,开放式;债券型 ;低风险,20130320
000005,1163,0.177988,0.021739,20161019,20161220,0.202238,20160105,20200430,0.618906,0.037552,0.012203,0.003992,0.594277,5.361644,0.063186,20200407,0.006473,-0.897561,20161215,-0.004241,-1.067117,0.001625,20200420,0.005116,2.147230,20161212,-0.007608,-5.680433,0.004939,20200401,0.016000,2.239429,20160401,-0.008511,-2.723100,0.024433,20180102,0.067109,1.746685,20160104,0.012898,-0.472111,开放式;债券型 ;低风险,20130308
000006,377,0.819800,0.146275,20200225,20200323,1.073454,20190606,20200901,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,0.300044,20200204,0.041767,-0.860797,20200203,-0.086101,-1.286961,0.024591,20200203,0.102652,3.174406,20200224,-0.057183,-3.325372,0.061957,20200701,0.158217,1.553666,20200302,-0.098502,-2.589846,nan,20190319,0.212000,nan,20190319,0.212000,nan,开放式;混合型 ;高风险,20190319
000008,1163,-0.046553,0.375236,20160106,20181018,0.654860,20181018,20200713,-0.179852,-0.009822,0.221415,0.008749,0.598559,5.323287,0.093535,20190225,0.049981,-0.465639,20200203,-0.079213,-1.846882,0.023873,20200203,0.073267,2.069060,20160125,-0.085709,-4.590243,0.056955,20190201,0.147236,1.585139,20160104,-0.198465,-4.484605,0.232345,20190102,0.252439,0.086482,20180102,-0.311383,-2.340175,开放式;ETF联接基金 ;高风险,20130322
000011,1163,0.604589,0.215862,20180123,20181029,0.960259,20160128,20200828,0.619252,0.127558,0.157541,0.025925,0.287160,11.095890,0.161012,20181102,0.036529,-0.773131,20200203,-0.061448,-1.381636,0.017938,20181029,0.070670,2.939731,20180205,-0.072712,-5.053566,0.041286,20200701,0.121922,1.953140,20160104,-0.125342,-4.035979,0.226653,20190102,0.328161,0.447856,20180102,-0.157316,-1.694083,开放式;混合型 ;高风险,20040811
000014,1163,0.307224,0.105524,20190404,20190606,0.413261,20181018,20200806,0.460899,0.064819,0.075545,0.006726,0.597636,5.331507,0.082013,20200706,0.031052,-0.621383,20200203,-0.044935,-1.547905,0.009193,20200629,0.050408,4.483026,20190422,-0.030032,-4.266738,0.025209,20200701,0.100437,2.984171,20190401,-0.049964,-2.982007,0.088001,20190102,0.161002,0.829551,20180102,-0.040309,-1.458050,开放式;债券型 ;低风险,20130319
000015,1163,0.162116,0.041017,20161021,20161221,0.174508,20160426,20200506,0.369439,0.034204,0.011379,0.003256,0.594277,5.361644,0.057062,20180418,0.004078,-0.928529,20161215,-0.007595,-1.133100,0.001908,20161226,0.005098,1.672394,20161212,-0.014262,-8.476501,0.005478,20180702,0.013695,1.499880,20161201,-0.014167,-3.585921,0.030089,20180102,0.071906,1.389819,20170103,0.009291,-0.691227,开放式;债券型 ;低风险,20130308
000016,1163,0.140638,0.041597,20161024,20161221,0.158854,20161220,20200506,-0.028491,0.029672,0.011503,0.002583,0.594277,5.361644,0.050823,20180418,0.004167,-0.918016,20161215,-0.007705,-1.151614,0.001933,20170612,0.004322,1.236183,20161212,-0.014468,-8.486550,0.005440,20180702,0.013256,1.436779,20161201,-0.015216,-3.796992,0.030193,20180102,0.067321,1.229663,20170103,0.004284,-0.858098,开放式;债券型 ;低风险,20130308
000017,1163,0.409462,0.216216,20180123,20190103,0.771114,20190103,20200902,0.365769,0.086389,0.154167,0.018590,0.600103,5.309589,0.136347,20160202,0.036893,-0.729416,20160111,-0.051227,-1.375711,0.018310,20200203,0.057346,2.131920,20160125,-0.093985,-6.132960,0.043091,20200601,0.113533,1.634714,20160104,-0.159054,-4.691114,0.236189,20190102,0.324793,0.375140,20180102,-0.156587,-1.662972,开放式;混合型 ;高风险,20130327
000020,1163,1.227928,0.310531,20180312,20181018,1.934017,20160128,20200902,1.079874,0.259072,0.212128,0.114045,0.597636,5.331507,0.337706,20160302,0.052744,-0.843816,20160107,-0.081668,-1.241831,0.023022,20181029,0.072455,2.147228,20160222,-0.074194,-4.222741,0.055971,20160301,0.129722,1.317679,20160104,-0.184074,-4.288756,0.387983,20190102,0.616238,0.588314,20180102,-0.237318,-1.611672,开放式;混合型 ;高风险,20130319
000021,1163,0.221815,0.210390,20171110,20190103,0.582754,20190103,20200713,0.120521,0.046799,0.139387,0.007769,0.337493,9.441096,0.088139,20190225,0.032221,-0.634435,20160107,-0.049801,-1.565024,0.015384,20200203,0.057968,2.768148,20200713,-0.053963,-4.507848,0.037509,20200203,0.084302,1.247512,20160104,-0.121748,-4.245841,0.186208,20190102,0.254368,0.366047,20180102,-0.169019,-1.907691,开放式;混合型 ;高风险,20061124
000024,1162,0.206161,0.020225,20161128,20161220,0.209321,20160104,20200818,1.149820,0.043496,0.011738,0.003214,0.599278,5.312329,0.056694,20200706,0.006055,-0.893198,20161215,-0.006813,-1.120173,0.001563,20200629,0.008658,4.538819,20161212,-0.008302,-6.311174,0.004564,20200701,0.013369,1.929162,20161201,-0.011270,-3.469211,0.015317,20180102,0.049963,2.261812,20170103,0.016692,0.089733,开放式;债券型 ;低风险,20130326
000025,1162,0.186576,0.020316,20161109,20161220,0.190608,20160104,20200819,0.802539,0.039364,0.011668,0.002638,0.599278,5.312329,0.051362,20200706,0.005405,-0.894758,20161215,-0.006839,-1.133152,0.001565,20200629,0.009550,5.102530,20161212,-0.009091,-6.809292,0.004468,20200701,0.013587,2.041272,20161201,-0.011312,-3.532100,0.015781,20180102,0.046582,1.951796,20170103,0.012186,-0.227803,开放式;债券型 ;低风险,20130326
000028,321,0.073355,0.049093,20200224,20200323,0.109247,20190722,20200713,0.422092,0.056487,0.062751,0.000817,0.168063,5.232877,0.028585,20200706,0.020226,-0.292417,20200716,-0.021330,-1.746212,0.008212,20200203,0.016669,1.029715,20200713,-0.041259,-6.023973,0.014780,20200203,0.025914,0.753292,20200302,-0.028192,-2.907413,nan,20190614,0.050418,nan,20190614,0.050418,nan,开放式;债券型 ;低风险,20130424
