code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,673,0.082747,0.077138,20180109,20181018,0.198667,20181018,20200805,0.002285,0.030142,0.062307,0.001595,0.144050,12.800000,0.039936,20190225,0.015456,-0.612970,20200203,-0.021437,-1.536773,0.006915,20200706,0.021025,2.040316,20180205,-0.021511,-4.110666,0.015222,20200701,0.040594,1.666892,20200302,-0.028478,-2.870866,0.097203,20190102,0.074420,-0.234383,20180102,-0.063045,-1.648597,开放式;混合型 ;高风险,20011218
000003,673,0.147406,0.175889,20180124,20181018,0.443645,20181018,20200709,0.153597,0.053696,0.154272,0.006706,0.346015,5.328767,0.081891,20200706,0.059406,-0.274571,20200203,-0.066640,-1.813773,0.019836,20200629,0.129065,5.506627,20180205,-0.062563,-4.154027,0.040775,20200701,0.126719,2.107727,20190401,-0.055055,-2.350200,0.255229,20190102,0.218527,-0.143799,20180102,-0.142421,-1.558013,开放式;债券型 ;低风险,20130320
000004,673,0.141886,0.177515,20180124,20181018,0.441247,20181018,20200709,0.140090,0.051685,0.154794,0.006592,0.346015,5.328767,0.081194,20200706,0.059459,-0.267688,20200203,-0.066640,-1.820755,0.019941,20200629,0.130346,5.536734,20200713,-0.062659,-4.142274,0.040879,20200701,0.125971,2.081559,20190401,-0.055055,-2.346780,0.258939,20190102,0.221165,-0.145880,20180102,-0.145030,-1.560094,开放式;债券型 ;低风险,20130320
000005,673,0.135046,0.019327,20200430,20200930,0.157415,20180102,20200430,1.427590,0.049193,0.013445,0.002092,0.343894,5.361644,0.045735,20200407,0.006473,-0.858473,20180813,-0.002456,-1.053710,0.001737,20200420,0.005116,1.944944,20200601,-0.007205,-5.147809,0.005248,20200401,0.016000,2.048877,20190401,-0.007645,-2.456841,0.014016,20180102,0.067109,3.787972,20190102,0.047287,2.373759,开放式;债券型 ;低风险,20130308
000006,377,0.819800,0.146275,20200225,20200323,1.073454,20190606,20200901,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,0.300044,20200204,0.041767,-0.860797,20200203,-0.086101,-1.286961,0.024591,20200203,0.102652,3.174406,20200224,-0.057183,-3.325372,0.061957,20200701,0.158217,1.553666,20200302,-0.098502,-2.589846,nan,20190319,0.212000,nan,20190319,0.212000,nan,开放式;混合型 ;高风险,20190319
000008,673,0.006206,0.345712,20180108,20181018,0.654859,20181018,20200713,-0.122021,0.002261,0.227332,0.009745,0.346372,5.323287,0.098719,20190225,0.049981,-0.493700,20200203,-0.079213,-1.802410,0.025127,20200203,0.073267,1.915808,20181008,-0.071005,-3.825791,0.057068,20190201,0.147236,1.579999,20200302,-0.099164,-2.737644,0.398682,20190102,0.252439,-0.366817,20180102,-0.311383,-1.781031,开放式;ETF联接基金 ;高风险,20130322
000011,673,0.307821,0.215862,20180123,20181029,0.678765,20181029,20200828,0.492885,0.112130,0.166632,0.012925,0.166173,11.095890,0.113687,20181102,0.036529,-0.678689,20200203,-0.061448,-1.540504,0.020230,20181029,0.070670,2.493299,20180205,-0.072712,-4.594235,0.044832,20200701,0.121922,1.719523,20200302,-0.081115,-2.809304,0.343284,20190102,0.328161,-0.044054,20180102,-0.157316,-1.458268,开放式;混合型 ;高风险,20040811
000014,673,0.288165,0.105524,20190404,20190606,0.413261,20181018,20200806,0.763374,0.104970,0.098209,0.009650,0.345838,5.331507,0.098236,20200706,0.031052,-0.683910,20200203,-0.044935,-1.457420,0.011844,20200629,0.050408,3.256007,20190422,-0.030032,-3.535691,0.032375,20200701,0.100437,2.102274,20190401,-0.049964,-2.543289,0.142348,20190102,0.161002,0.131043,20180102,-0.040309,-1.283170,开放式;债券型 ;低风险,20130319
000015,673,0.138796,0.015295,20200424,20200713,0.147993,20180102,20200506,2.300689,0.050559,0.008936,0.001901,0.343894,5.361644,0.043605,20180418,0.004078,-0.906471,20200709,-0.002212,-1.050737,0.001304,20180416,0.004082,2.130063,20200601,-0.006574,-6.041482,0.003751,20180702,0.013695,2.650932,20200601,-0.004383,-2.168369,0.021084,20180102,0.071906,2.410445,20190102,0.042089,0.996231,开放式;债券型 ;低风险,20130308
000016,673,0.127986,0.016479,20200429,20200713,0.139078,20180102,20200506,1.810161,0.046622,0.009182,0.001626,0.343894,5.361644,0.040319,20180418,0.004167,-0.896658,20200605,-0.002266,-1.056198,0.001371,20180730,0.004092,1.985444,20200601,-0.006767,-5.937430,0.003756,20180702,0.013256,2.528885,20200601,-0.004511,-2.200948,0.020457,20180102,0.067321,2.290923,20190102,0.038391,0.876709,开放式;债券型 ;低风险,20130308
000017,673,0.431649,0.216216,20180123,20190103,0.771114,20190103,20200902,0.831999,0.157237,0.152930,0.025272,0.347265,5.309589,0.158972,20190225,0.031011,-0.804927,20200203,-0.044634,-1.280764,0.018077,20200203,0.057346,2.172241,20180205,-0.068687,-4.799615,0.044136,20200601,0.113533,1.572320,20200302,-0.088411,-3.003149,0.340387,20190102,0.324793,-0.045812,20180102,-0.156587,-1.460026,开放式;混合型 ;高风险,20130327
000020,673,0.703132,0.310531,20180312,20181018,1.406494,20181018,20200902,1.065693,0.256131,0.212191,0.071132,0.345838,5.331507,0.266705,20190225,0.048279,-0.818979,20190506,-0.064052,-1.240159,0.023210,20181029,0.072455,2.121705,20180319,-0.058075,-3.502163,0.053960,20200701,0.115908,1.148032,20200302,-0.085787,-2.589825,0.603556,20190102,0.616238,0.021013,20180102,-0.237318,-1.393200,开放式;混合型 ;高风险,20130319
000021,673,0.230847,0.185419,20180109,20190103,0.582754,20190103,20200713,0.359001,0.084091,0.150670,0.012507,0.195299,9.441096,0.111836,20190225,0.032221,-0.711895,20200203,-0.044986,-1.402248,0.017098,20200203,0.057968,2.390246,20200713,-0.053963,-4.156052,0.040484,20200203,0.084302,1.082349,20200302,-0.110780,-3.736401,0.299380,20190102,0.254368,-0.150350,20180102,-0.169019,-1.564563,开放式;混合型 ;高风险,20061124
000024,673,0.138702,0.006267,20190402,20190506,0.141685,20180102,20200818,1.649643,0.050525,0.012442,0.001620,0.347086,5.312329,0.040253,20200706,0.006055,-0.849578,20200724,-0.003364,-1.083574,0.001587,20200629,0.008658,4.455368,20200713,-0.003377,-3.128207,0.004149,20200701,0.013369,2.222530,20190401,-0.004181,-2.007855,0.001179,20180102,0.049963,41.379654,20190102,0.048295,39.965439,开放式;债券型 ;低风险,20130326
000025,673,0.127648,0.007042,20190403,20190506,0.131480,20180102,20200819,1.330858,0.046499,0.012397,0.001389,0.347086,5.312329,0.037273,20200706,0.005405,-0.854979,20200716,-0.003367,-1.090333,0.001591,20200629,0.009550,5.003745,20200601,-0.003399,-3.136906,0.004127,20200701,0.013587,2.291898,20190401,-0.004228,-2.024455,0.001466,20180102,0.046582,30.774189,20190102,0.044508,29.359974,开放式;债券型 ;低风险,20130326
000028,321,0.073355,0.049093,20200224,20200323,0.109247,20190722,20200713,0.422092,0.056487,0.062751,0.000817,0.168063,5.232877,0.028585,20200706,0.020226,-0.292417,20200716,-0.021330,-1.746212,0.008212,20200203,0.016669,1.029715,20200713,-0.041259,-6.023973,0.014780,20200203,0.025914,0.753292,20200302,-0.028192,-2.907413,nan,20190614,0.050418,nan,20190614,0.050418,nan,开放式;债券型 ;低风险,20130424
000029,673,0.508551,0.194621,20180124,20190130,1.006679,20181109,20200803,0.977593,0.185251,0.158809,0.046905,0.350156,5.265753,0.216575,20200729,0.039880,-0.815859,20200203,-0.060187,-1.277904,0.020969,20200203,0.093899,3.477932,20180205,-0.082992,-4.957792,0.054975,20200701,0.181146,2.295065,20200302,-0.077468,-2.409149,0.425855,20190102,0.441787,0.037412,20180102,-0.160463,-1.376802,开放式;混合型 ;高风险,20130412
000030,335,0.394971,0.149786,20200305,20200323,0.536900,20190606,20200805,1.254934,0.291242,0.208172,0.020475,0.174843,5.249315,0.143091,20200709,0.037203,-0.740005,20200203,-0.080528,-1.562771,0.023875,20200706,0.083539,2.499030,20200120,-0.040097,-2.679451,0.056839,20200701,0.128866,1.267229,20200302,-0.057007,-2.002959,nan,20190524,0.169870,nan,20190524,0.169870,nan,开放式;混合型 ;高风险,20130418
000031,673,0.797211,0.337451,20180312,20181018,1.918644,20181018,20200713,0.888624,0.290401,0.293039,0.114710,0.205747,8.961644,0.338689,20181022,0.055420,-0.836370,20190506,-0.082494,-1.243568,0.032483,20200706,0.098182,2.022573,20200224,-0.081061,-3.495514,0.080855,20190201,0.180956,1.238046,20200302,-0.201089,-3.487048,0.707622,20190102,0.722403,0.020887,20180102,-0.278327,-1.393326,开放式;混合型 ;高风险,20070910
000032,673,0.145057,0.018868,20200429,20200715,0.159643,20180102,20200506,2.175301,0.052840,0.010500,0.002168,0.352356,5.232877,0.046564,20180418,0.004743,-0.898131,20200709,-0.002128,-1.045693,0.001580,20181112,0.005319,2.367597,20200601,-0.006325,-5.004199,0.004684,20180702,0.013302,1.840075,20200601,-0.007027,-2.500399,0.030988,20180102,0.082658,1.667456,20190102,0.038835,0.253242,开放式;债券型 ;低风险,20130424
000033,673,0.137107,0.019987,20200429,20200715,0.153636,20180102,20200506,1.917912,0.049944,0.010399,0.001972,0.352356,5.232877,0.044407,20180418,0.004839,-0.891038,20200603,-0.002888,-1.065037,0.001617,20181112,0.005435,2.361963,20200601,-0.006561,-5.058595,0.004791,20180702,0.012780,1.667311,20200601,-0.007210,-2.504810,0.031900,20180102,0.080992,1.538900,20190102,0.035878,0.124686,开放式;债券型 ;低风险,20130424
000039,673,0.502763,0.305635,20180126,20190103,1.242838,20190103,20200803,0.629773,0.183142,0.243171,0.052446,0.347086,5.312329,0.229012,20200204,0.058481,-0.744639,20200203,-0.076085,-1.332231,0.029188,20200203,0.172734,4.917954,20200224,-0.084372,-3.890639,0.059831,20200701,0.151057,1.524731,20200302,-0.106206,-2.775106,0.508397,20190102,0.459335,-0.096502,20180102,-0.259646,-1.510716,开放式;混合型 ;高风险,20130326
000041,638,0.161682,0.263345,20200219,20200323,0.634058,20200323,20200901,0.120822,0.058955,0.239650,0.007262,0.196853,8.879452,0.085217,20200324,0.074879,-0.121315,20200316,-0.100967,-2.184814,0.022032,20200323,0.084541,2.837210,20181203,-0.063380,-3.876749,0.052478,20200401,0.162374,2.094138,20200302,-0.106796,-3.035066,0.242979,20190102,0.192222,-0.208893,20180102,-0.151402,-1.623107,开放式;股票型 ;高风险,20071009
000042,673,0.199977,0.251502,20180126,20190103,0.531263,20190103,20200902,0.239931,0.072846,0.178577,0.009086,0.346372,5.323287,0.095320,20190225,0.049323,-0.482557,20200203,-0.057618,-1.604473,0.020467,20180917,0.059011,1.883183,20180205,-0.101025,-5.935903,0.044487,20200701,0.106800,1.400693,20200302,-0.061710,-2.387136,0.345698,20190102,0.307227,-0.111284,20180102,-0.181664,-1.525498,开放式;股票型 ;高风险,20130322
000043,672,0.550420,0.286375,20200219,20200323,0.773681,20180208,20200902,0.700822,0.200703,0.243575,0.024102,0.361679,5.090411,0.155249,20200313,0.088089,-0.432598,20200316,-0.116090,-1.747763,0.022766,20200323,0.097230,3.270853,20200224,-0.073333,-4.221172,0.055398,20200401,0.173035,2.123484,20200302,-0.122355,-3.208653,0.210132,20190102,0.303775,0.445635,20180102,0.006603,-0.968579,开放式;股票型 ;高风险,20130614
000044,672,0.472913,0.295992,20200219,20200323,0.785637,20181224,20200902,0.591913,0.172441,0.240645,0.015858,0.361679,5.090411,0.125927,20200313,0.081646,-0.351644,20200316,-0.115272,-1.915388,0.022650,20200323,0.105624,3.663215,20200224,-0.071173,-4.142207,0.059843,20200401,0.177440,1.965073,20200302,-0.135334,-3.261479,0.231437,20190102,0.278226,0.202165,20180102,-0.049076,-1.212048,开放式;股票型 ;高风险,20130614
000045,673,0.173278,0.024894,20200305,20200323,0.185625,20180209,20200902,1.058452,0.063120,0.031291,0.003070,0.347624,5.304110,0.055406,20190225,0.007308,-0.868103,20200716,-0.008945,-1.161436,0.003682,20200629,0.010322,1.803511,20180205,-0.017147,-5.657249,0.007820,20200401,0.018519,1.368203,20200302,-0.010996,-2.406166,0.046442,20190102,0.092818,0.998599,20180102,0.027140,-0.415615,开放式;债券型 ;低风险,20130329
000046,673,0.164108,0.024938,20200305,20200323,0.178317,20180209,20200902,0.943044,0.059780,0.031578,0.002825,0.347624,5.304110,0.053152,20190225,0.006734,-0.873307,20200716,-0.009197,-1.173028,0.003672,20200629,0.009988,1.719684,20180205,-0.017519,-5.770643,0.007889,20190102,0.018724,1.373342,20200302,-0.011292,-2.431350,0.046158,20190102,0.090153,0.953139,20180102,0.024876,-0.461074,开放式;债券型 ;低风险,20130329
000047,673,0.270368,0.046278,20190404,20190606,0.326471,20180619,20200806,1.109585,0.098487,0.061723,0.007362,0.344951,5.345205,0.085804,20200706,0.015976,-0.813805,20200716,-0.022197,-1.258693,0.007743,20200203,0.029812,2.850108,20200713,-0.029876,-4.858364,0.017778,20200701,0.061899,2.481775,20200506,-0.020049,-2.127719,0.052857,20190102,0.092776,0.755216,20180102,0.018025,-0.658997,开放式;债券型 ;低风险,20130314
000048,673,0.261853,0.046290,20190404,20190606,0.319434,20180619,20200806,1.061836,0.095385,0.061578,0.006981,0.344951,5.345205,0.083555,20200706,0.016265,-0.805337,20200716,-0.022016,-1.263494,0.007673,20200203,0.029644,2.863476,20200713,-0.029834,-4.888154,0.017721,20200701,0.061774,2.485857,20200506,-0.019778,-2.116034,0.052105,20190102,0.089734,0.722181,20180102,0.016047,-0.692032,开放式;债券型 ;低风险,20130314
000049,651,-0.053957,0.386189,20200102,20200323,0.585972,20200323,20200817,-0.227901,-0.019675,0.217966,0.004067,0.334704,5.328767,0.063770,20200324,0.100000,0.568124,20200309,-0.104675,-2.641430,0.024214,20200323,0.102778,3.244509,20200224,-0.105027,-5.337395,0.066210,20200401,0.207711,2.137165,20200302,-0.191677,-3.894996,0.178694,20190102,0.159996,-0.104638,20180102,-0.092716,-1.518852,开放式;股票型 ;高风险,20130319
000051,673,0.175341,0.295745,20180124,20190103,0.641591,20190103,20200828,0.164151,0.063872,0.206346,0.011600,0.237557,7.761644,0.107702,20190225,0.056604,-0.474440,20200203,-0.074683,-1.693420,0.023860,20200629,0.072564,2.041225,20180205,-0.096000,-5.023431,0.051026,20190201,0.122109,1.393077,20200302,-0.091109,-2.785550,0.432959,20190102,0.376258,-0.130963,20180102,-0.236039,-1.545177,开放式;ETF联接基金 ;高风险,20090710
000053,437,0.095554,0.013336,20200506,20200714,0.096032,20181219,20200506,3.101320,0.053575,0.007601,0.000811,0.229879,5.208219,0.028475,20200309,0.002265,-0.920466,20200603,-0.002565,-1.090087,0.001330,20200720,0.003468,1.607721,20200601,-0.006434,-5.837182,0.003825,20190102,0.010273,1.685420,20200601,-0.005872,-2.534923,0.048145,20190102,0.071433,0.483728,20181219,0.003347,-0.930485,开放式;债券型 ;低风险,20130503
000054,673,0.175977,0.046602,20200225,20200401,0.203464,20180209,20200805,0.810937,0.064103,0.042054,0.003349,0.344775,5.347945,0.057874,20200310,0.008622,-0.851025,20200203,-0.014399,-1.248803,0.004941,20200203,0.020871,3.223752,20180205,-0.020313,-5.110915,0.012595,20200203,0.031446,1.496740,20200302,-0.033427,-3.654064,0.034635,20190102,0.077257,1.230637,20180102,0.028276,-0.183577,开放式;债券型 ;低风险,20130313
000055,660,0.606983,0.267171,20200219,20200320,0.920837,20181224,20200902,0.773177,0.221327,0.247456,0.027928,0.322738,5.602740,0.167116,20200313,0.093370,-0.441284,20200316,-0.114957,-1.687889,0.022138,20200323,0.074392,2.360422,20200224,-0.064220,-3.900942,0.059535,20200401,0.178119,1.991860,20200302,-0.119140,-3.001193,0.253432,20190102,0.324985,0.282333,20180102,-0.033423,-1.131881,开放式;股票型 ;高风险,20120815
000056,673,0.451010,0.289955,20180123,20190103,1.152039,20190103,20200803,0.694364,0.164290,0.193400,0.038252,0.362023,5.093151,0.195582,20190225,0.044311,-0.773438,20200203,-0.063628,-1.325328,0.022961,20200727,0.071279,2.104309,20180205,-0.088086,-4.836268,0.052384,20200701,0.160484,2.063594,20181203,-0.053040,-2.012518,0.539045,20190102,0.501718,-0.069246,20180102,-0.260606,-1.483459,开放式;混合型 ;高风险,20130614
000057,673,0.319042,0.337182,20180123,20190102,0.928571,20190102,20200901,0.410497,0.116218,0.210033,0.022988,0.352541,5.230137,0.151619,20190225,0.048324,-0.681279,20200203,-0.061761,-1.407341,0.023930,20200203,0.082633,2.453081,20180205,-0.100923,-5.217386,0.049889,20200601,0.107429,1.153360,20180201,-0.072202,-2.447262,0.436308,20190102,0.348432,-0.201408,20180102,-0.268600,-1.615621,开放式;混合型 ;高风险,20130425
000058,327,0.275572,0.103634,20200305,20200323,0.290146,20190614,20200902,1.534558,0.208248,0.116156,0.004902,0.171115,5.235616,0.070011,20190722,0.059225,-0.154064,20200203,-0.049522,-1.707355,0.011123,20190617,0.037176,2.342387,20200120,-0.023961,-3.154231,0.028653,20190701,0.052256,0.823755,20200302,-0.049004,-2.710260,nan,20190605,0.170425,nan,20190605,0.170425,nan,开放式;混合型 ;高风险,20130423
000059,673,0.236126,0.248083,20180528,20190103,0.649510,20190103,20200805,0.367274,0.086014,0.152513,0.013965,0.375768,4.906849,0.118174,20200205,0.027544,-0.766916,20200724,-0.041284,-1.349352,0.017569,20200203,0.061169,2.481693,20200309,-0.041079,-3.338192,0.040416,20200701,0.095686,1.367534,20181203,-0.065186,-2.612886,0.246134,20190102,0.180641,-0.266087,20180102,-0.167445,-1.680301,开放式;股票型 ;高风险,20130821
000061,673,0.102064,0.404545,20180105,20190103,1.152481,20190103,20200803,0.028930,0.037179,0.248153,0.025879,0.251213,7.339726,0.160868,20190225,0.056478,-0.648915,20200203,-0.069231,-1.430358,0.030148,20200203,0.096419,2.198133,20200713,-0.091837,-4.046152,0.076058,20200203,0.165289,1.173205,20200302,-0.131429,-2.728008,0.564477,20190102,0.404943,-0.282623,20180102,-0.393349,-1.696837,开放式;混合型 ;高风险,20091211
000063,673,0.025710,0.411857,20180312,20190606,0.966102,20190606,20200713,-0.072789,0.009365,0.283485,0.019506,0.355333,5.189041,0.139666,20200204,0.067655,-0.515595,20200203,-0.088132,-1.631019,0.034580,20200203,0.146907,3.248284,20200224,-0.113402,-4.279377,0.079153,20200203,0.219072,1.767704,20200302,-0.183684,-3.320618,0.457643,20190102,0.281378,-0.385159,20180102,-0.365828,-1.799373,开放式;混合型 ;高风险,20130510
000064,163,0.124728,0.020992,20200430,20200717,0.139956,20180105,20200430,0.524021,0.045571,0.029715,0.001988,0.088203,5.063014,0.044585,20180803,0.006360,-0.857342,20200710,-0.008366,-1.187631,0.000202,20180305,0.001441,6.119807,20180105,0.000000,-1.000000,0.003799,20181102,0.010338,1.721401,20200703,-0.003861,-2.016410,0.019389,20180105,0.066715,2.440941,20190104,0.039295,1.026727,开放式;债券型 ;低风险,20130625
000065,673,0.196042,0.056707,20180312,20181018,0.254686,20180705,20200901,0.801313,0.071413,0.051681,0.004516,0.354771,5.197260,0.067203,20190722,0.012987,-0.806749,20200203,-0.014541,-1.216380,0.006052,20180917,0.022479,2.714499,20180205,-0.021412,-4.538223,0.013953,20200701,0.043240,2.098886,20180601,-0.020063,-2.437826,0.119690,20190102,0.142675,0.192036,20180102,-0.026592,-1.222177,开放式;混合型 ;高风险,20130507
