code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,245,0.050684,0.037788,20140217,20140428,0.087165,20140428,20141216,0.442639,0.050684,0.046729,0.000553,0.075084,8.939726,0.023525,20141210,0.008388,-0.643430,20141209,-0.011841,-1.503353,0.005072,20140120,0.012594,1.483107,20140616,-0.009401,-2.853576,0.011202,20140901,0.025262,1.255078,20140303,-0.019559,-2.746008,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;混合型 ;高风险,20011218
000003,245,0.504264,0.091684,20140102,20140120,0.694836,20140120,20141222,2.595276,0.504264,0.182741,0.020588,0.457090,1.468493,0.143484,20141208,0.049296,-0.656436,20141209,-0.076808,-1.535311,0.023985,20141215,0.086687,2.614305,20141208,-0.043997,-2.834394,0.035110,20141103,0.083282,1.372043,20140102,-0.033049,-1.941308,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000004,245,0.509091,0.090909,20140102,20140120,0.696471,20140120,20141222,2.614473,0.509091,0.183246,0.020748,0.457090,1.468493,0.144041,20141208,0.050235,-0.651243,20141209,-0.076981,-1.534434,0.024000,20141215,0.086889,2.620428,20141208,-0.044096,-2.837345,0.035387,20141103,0.084444,1.386307,20140102,-0.033155,-1.936926,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000005,244,0.089796,0.015858,20141202,20141210,0.093878,20140102,20141204,2.841804,0.089796,0.021042,0.000770,0.445255,1.501370,0.027750,20141124,0.006598,-0.762247,20141209,-0.013096,-1.471948,0.002782,20141027,0.011516,3.140284,20141208,-0.011225,-5.035712,0.005474,20141008,0.021318,2.894217,20140303,0.002020,-0.630961,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000008,245,0.342189,0.120610,20140217,20140428,0.499226,20140113,20141216,1.691275,0.342189,0.184588,0.016977,0.458802,1.463014,0.130296,20141210,0.031734,-0.756446,20141209,-0.037914,-1.290985,0.020245,20140120,0.061036,2.014883,20140421,-0.039043,-2.928523,0.041240,20140901,0.084337,1.045021,20140303,-0.051168,-2.240738,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;ETF联接基金 ;高风险,20130322
000011,245,0.028910,0.141212,20140102,20140717,0.224267,20140717,20141217,-0.008871,0.028910,0.122930,0.002201,0.092768,7.235616,0.046913,20141204,0.021216,-0.547768,20141209,-0.037585,-1.801165,0.015108,20141201,0.047260,2.128145,20140224,-0.029111,-2.926850,0.031387,20141103,0.044746,0.425606,20140303,-0.049096,-2.564221,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;混合型 ;高风险,20040811
000014,208,0.078332,0.017724,20141111,20141218,0.094995,20140124,20141117,2.614731,0.078332,0.018484,0.000890,0.387337,1.471233,0.029837,20141020,0.003806,-0.872443,20141209,-0.007526,-1.252234,0.002414,20141013,0.006705,1.777089,20141208,-0.006585,-3.727452,0.007365,20141008,0.021093,1.864094,20140103,-0.004069,-1.552529,0.000000,20140103,-999999.000000,0.000000,20140103,999999.000000,0.000000,开放式;债券型 ;低风险,20130319
000015,245,0.076844,0.032588,20141111,20141218,0.101539,20140103,20141113,2.198223,0.076844,0.021310,0.000823,0.447080,1.501370,0.028689,20141124,0.007519,-0.737923,20141209,-0.011396,-1.397222,0.003489,20141013,0.006686,0.916226,20141201,-0.013072,-4.746571,0.004829,20141008,0.017208,2.563492,20140303,-0.002010,-1.416238,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000016,245,0.073045,0.032802,20141111,20141219,0.097737,20140102,20141113,2.035111,0.073045,0.021151,0.000749,0.447080,1.501370,0.027365,20141124,0.006623,-0.757990,20141209,-0.011472,-1.419237,0.003525,20141013,0.006724,0.907659,20141201,-0.013170,-4.736354,0.004605,20141008,0.016346,2.549399,20140303,-0.002018,-1.438223,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000017,245,0.582115,0.110363,20141204,20141224,0.702090,20140113,20141204,2.931238,0.582115,0.188356,0.033042,0.463138,1.449315,0.181776,20140307,0.040990,-0.774502,20141209,-0.062771,-1.345319,0.020320,20140120,0.047743,1.349587,20140224,-0.054195,-3.667083,0.048327,20140901,0.123545,1.556413,20141008,-0.018338,-1.379456,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;混合型 ;高风险,20130327
000020,245,0.175889,0.174976,20140210,20140519,0.415051,20140519,20141215,0.767889,0.175889,0.189987,0.006631,0.456238,1.471233,0.081428,20141210,0.046047,-0.434509,20141209,-0.035205,-1.432348,0.022813,20140120,0.066184,1.901135,20140421,-0.039666,-2.738732,0.041820,20140701,0.059016,0.411208,20140303,-0.078204,-2.870024,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;混合型 ;高风险,20130319
000021,245,0.056726,0.086608,20140217,20140519,0.142669,20140519,20141217,0.307952,0.056726,0.086785,0.000914,0.120275,5.580822,0.030238,20141204,0.015686,-0.481243,20141209,-0.027735,-1.917217,0.010232,20140120,0.029016,1.835927,20140224,-0.022290,-3.178517,0.019038,20141103,0.031186,0.638044,20140303,-0.035788,-2.879758,0.000000,20140102,-999999.000000,0.000000,20140102,999999.000000,0.000000,开放式;混合型 ;高风险,20061124
