"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年12月28日","2,493.90","2,483.62","2,505.11","2,478.32","11.92B","0.44%"
"2018年12月27日","2,483.09","2,527.72","2,532.00","2,483.09","13.54B","-0.61%"
"2018年12月26日","2,498.29","2,501.12","2,513.83","2,492.08","10.88B","-0.26%"
"2018年12月25日","2,504.82","2,503.95","2,513.96","2,462.84","14.07B","-0.88%"
"2018年12月24日","2,527.01","2,506.74","2,529.44","2,500.44","9.73B","0.43%"
"2018年12月21日","2,516.25","2,526.55","2,527.42","2,498.69","11.57B","-0.79%"
"2018年12月20日","2,536.27","2,544.51","2,554.86","2,516.02","12.06B","-0.52%"
"2018年12月19日","2,549.56","2,578.68","2,579.87","2,547.08","10.77B","-1.05%"
"2018年12月18日","2,576.65","2,583.63","2,599.15","2,563.57","11.70B","-0.82%"
"2018年12月17日","2,597.97","2,587.26","2,598.97","2,573.87","11.74B","0.16%"
"2018年12月14日","2,593.74","2,627.28","2,629.16","2,593.74","14.59B","-1.53%"
"2018年12月13日","2,634.05","2,607.14","2,645.84","2,599.46","15.07B","1.23%"
"2018年12月12日","2,602.15","2,608.11","2,610.01","2,595.07","10.35B","0.31%"
"2018年12月11日","2,594.09","2,587.01","2,596.15","2,583.20","10.13B","0.37%"
"2018年12月10日","2,584.58","2,589.19","2,599.76","2,576.24","11.32B","-0.82%"
"2018年12月7日","2,605.89","2,609.34","2,614.58","2,599.28","10.91B","0.03%"
"2018年12月6日","2,605.18","2,629.82","2,633.68","2,603.13","14.17B","-1.68%"
"2018年12月5日","2,649.81","2,629.83","2,660.39","2,625.91","15.45B","-0.61%"
"2018年12月4日","2,665.96","2,651.56","2,666.08","2,644.90","16.79B","0.42%"
"2018年12月3日","2,654.80","2,647.13","2,665.30","2,629.18","20.75B","2.57%"
"2018年11月30日","2,588.19","2,564.56","2,590.21","2,555.32","13.93B","0.81%"
"2018年11月29日","2,567.44","2,613.78","2,617.55","2,567.44","15.72B","-1.32%"
"2018年11月28日","2,601.74","2,575.45","2,601.96","2,561.56","14.60B","1.05%"
"2018年11月27日","2,574.68","2,585.83","2,592.54","2,566.17","12.37B","-0.04%"
"2018年11月26日","2,575.81","2,580.84","2,595.00","2,568.04","13.43B","-0.14%"
"2018年11月23日","2,579.48","2,640.67","2,642.04","2,577.35","19.15B","-2.49%"
"2018年11月22日","2,645.43","2,655.90","2,658.00","2,634.48","14.93B","-0.23%"
"2018年11月21日","2,651.51","2,619.82","2,653.80","2,617.78","18.26B","0.21%"
"2018年11月20日","2,645.85","2,684.29","2,690.83","2,643.36","21.59B","-2.13%"
"2018年11月19日","2,703.51","2,681.90","2,703.51","2,674.18","23.17B","0.91%"
"2018年11月16日","2,679.11","2,669.78","2,695.57","2,657.03","24.22B","0.41%"
"2018年11月15日","2,668.17","2,632.14","2,668.17","2,631.89","20.78B","1.36%"
"2018年11月14日","2,632.24","2,648.31","2,658.31","2,627.96","23.84B","-0.85%"
"2018年11月13日","2,654.88","2,600.50","2,666.49","2,597.35","24.93B","0.93%"
"2018年11月12日","2,630.52","2,593.20","2,631.17","2,590.21","17.50B","1.22%"
"2018年11月9日","2,598.87","2,621.24","2,621.24","2,598.16","15.24B","-1.39%"
"2018年11月8日","2,635.63","2,660.09","2,662.37","2,632.30","15.96B","-0.22%"
"2018年11月7日","2,641.34","2,659.84","2,675.68","2,639.25","17.32B","-0.68%"
"2018年11月6日","2,659.36","2,660.72","2,660.86","2,635.32","16.37B","-0.23%"
"2018年11月5日","2,665.43","2,665.43","2,673.19","2,639.27","19.38B","-0.41%"
"2018年11月2日","2,676.48","2,649.25","2,676.48","2,628.87","22.50B","2.70%"
"2018年11月1日","2,606.24","2,617.03","2,636.80","2,603.65","20.09B","0.13%"
"2018年10月31日","2,602.78","2,573.01","2,612.92","2,567.03","18.06B","1.35%"
"2018年10月30日","2,568.05","2,538.57","2,586.92","2,521.78","16.67B","1.02%"
"2018年10月29日","2,542.10","2,593.59","2,595.54","2,529.19","13.42B","-2.18%"
"2018年10月26日","2,598.85","2,610.90","2,626.12","2,580.85","15.89B","-0.19%"
"2018年10月25日","2,603.80","2,540.93","2,606.10","2,531.53","16.20B","0.02%"
"2018年10月24日","2,603.30","2,579.97","2,640.40","2,577.77","16.01B","0.33%"
"2018年10月23日","2,594.83","2,652.65","2,659.81","2,583.26","17.83B","-2.26%"
"2018年10月22日","2,654.88","2,565.64","2,675.41","2,565.64","21.19B","4.09%"
"2018年10月19日","2,550.47","2,460.08","2,553.39","2,449.20","14.73B","2.58%"
"2018年10月18日","2,486.42","2,544.91","2,544.91","2,485.62","12.54B","-2.94%"
"2018年10月17日","2,561.61","2,574.31","2,582.55","2,517.57","13.00B","0.60%"
"2018年10月16日","2,546.33","2,567.76","2,597.72","2,536.44","11.94B","-0.85%"
"2018年10月15日","2,568.10","2,605.91","2,611.97","2,564.74","11.86B","-1.49%"
"2018年10月12日","2,606.91","2,574.04","2,615.92","2,536.67","17.01B","0.91%"
"2018年10月11日","2,583.46","2,643.07","2,661.29","2,560.32","19.72B","-5.22%"
"2018年10月10日","2,725.84","2,723.72","2,743.55","2,703.06","11.35B","0.18%"
"2018年10月9日","2,721.01","2,713.73","2,734.31","2,711.20","11.68B","0.17%"
"2018年10月8日","2,716.51","2,768.21","2,771.94","2,710.18","14.95B","-3.72%"
"2018年9月28日","2,821.35","2,794.26","2,821.76","2,791.84","13.43B","1.06%"
"2018年9月27日","2,791.77","2,805.79","2,810.51","2,786.32","12.40B","-0.54%"
"2018年9月26日","2,806.81","2,785.32","2,827.34","2,783.34","13.96B","0.92%"
"2018年9月25日","2,781.14","2,775.07","2,790.03","2,771.16","11.20B","-0.58%"
"2018年9月21日","2,797.48","2,733.87","2,797.49","2,722.03","15.80B","2.50%"
"2018年9月20日","2,729.24","2,732.17","2,743.96","2,724.08","11.14B","-0.06%"
"2018年9月19日","2,730.85","2,694.80","2,746.08","2,690.99","14.15B","1.14%"
"2018年9月18日","2,699.95","2,644.30","2,700.19","2,644.30","11.58B","1.82%"
"2018年9月17日","2,651.79","2,671.29","2,671.29","2,647.92","8.82B","-1.11%"
"2018年9月14日","2,681.64","2,688.78","2,694.92","2,675.29","10.00B","-0.18%"
"2018年9月13日","2,686.58","2,679.21","2,689.06","2,653.19","10.73B","1.15%"
"2018年9月12日","2,656.11","2,659.74","2,672.07","2,647.17","9.00B","-0.33%"
"2018年9月11日","2,664.80","2,668.49","2,680.57","2,652.70","9.99B","-0.18%"
"2018年9月10日","2,669.48","2,698.01","2,703.43","2,667.32","10.36B","-1.21%"
"2018年9月7日","2,702.30","2,696.68","2,728.55","2,683.72","10.75B","0.40%"
"2018年9月6日","2,691.59","2,697.58","2,719.41","2,683.74","9.90B","-0.47%"
"2018年9月5日","2,704.34","2,741.38","2,745.47","2,704.34","10.50B","-1.68%"
"2018年9月4日","2,750.58","2,720.65","2,756.61","2,712.38","10.90B","1.10%"
"2018年9月3日","2,720.73","2,716.40","2,722.85","2,692.36","10.22B","-0.17%"
