code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,918,0.139514,0.082523,20171121,20181018,0.198667,20181018,20200805,0.128681,0.037279,0.056564,0.001463,0.196490,12.800000,0.038256,20190225,0.015456,-0.595970,20200203,-0.021437,-1.560350,0.006232,20200706,0.021025,2.373836,20180205,-0.021511,-4.451903,0.013866,20200701,0.040594,1.927514,20200302,-0.028478,-3.053696,0.073352,20190102,0.074420,0.014565,20180102,-0.063045,-1.859494,开放式;混合型 ;高风险,20011218
000003,918,0.105784,0.199616,20170802,20181018,0.443645,20181018,20200709,-0.012805,0.028266,0.135418,0.005170,0.471979,5.328767,0.071902,20200706,0.059406,-0.173788,20200203,-0.066640,-1.926829,0.017303,20200629,0.129065,6.459139,20180205,-0.062563,-4.615748,0.036700,20200701,0.126719,2.452850,20190401,-0.055055,-2.500144,0.186321,20190102,0.218527,0.172854,20180102,-0.142421,-1.764386,开放式;债券型 ;低风险,20130320
000004,918,0.097368,0.202677,20170802,20181018,0.441247,20181018,20200709,-0.029310,0.026017,0.135886,0.005137,0.471979,5.328767,0.071673,20200706,0.059459,-0.170410,20200203,-0.066640,-1.929781,0.017387,20200629,0.130346,6.496638,20200713,-0.062659,-4.603710,0.036802,20200701,0.125971,2.422978,20190401,-0.055055,-2.495996,0.189394,20190102,0.221165,0.167755,20180102,-0.145030,-1.765762,开放式;债券型 ;低风险,20130320
000005,918,0.162002,0.019327,20200430,20200930,0.184902,20170103,20200430,1.071900,0.043287,0.012396,0.003460,0.469085,5.361644,0.058819,20200407,0.006473,-0.889955,20180813,-0.002456,-1.041762,0.001558,20200420,0.005116,2.283837,20200601,-0.007205,-5.625122,0.004879,20200401,0.016000,2.279178,20190401,-0.007645,-2.566886,0.022143,20180102,0.067109,2.030672,20170103,0.022901,0.034216,开放式;债券型 ;低风险,20130308
000006,377,0.819800,0.146275,20200225,20200323,1.073454,20190606,20200901,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,0.300044,20200204,0.041767,-0.860797,20200203,-0.086101,-1.286961,0.024591,20200203,0.102652,3.174406,20200224,-0.057183,-3.325372,0.061957,20200701,0.158217,1.553666,20200302,-0.098502,-2.589846,nan,20190319,0.212000,nan,20190319,0.212000,nan,开放式;混合型 ;高风险,20190319
000008,918,0.021288,0.370137,20171013,20181018,0.654860,20181018,20200713,-0.117235,0.005688,0.207378,0.011256,0.472465,5.323287,0.106093,20190225,0.049981,-0.528892,20200203,-0.079213,-1.746635,0.022865,20200203,0.073267,2.204273,20181008,-0.071005,-4.105351,0.052208,20190201,0.147236,1.820186,20200302,-0.099164,-2.899411,0.282521,20190102,0.252439,-0.106480,20180102,-0.311383,-2.102157,开放式;ETF联接基金 ;高风险,20130322
000011,918,0.638023,0.215862,20180123,20181029,0.769525,20170116,20200828,0.931770,0.170482,0.150769,0.021505,0.226667,11.095890,0.146645,20181102,0.036529,-0.750903,20200203,-0.061448,-1.419027,0.018181,20181029,0.070670,2.887064,20180205,-0.072712,-4.999377,0.039591,20200701,0.121922,2.079583,20200302,-0.081115,-3.048853,0.258799,20190102,0.328161,0.268012,20180102,-0.157316,-1.607868,开放式;混合型 ;高风险,20040811
000014,918,0.293712,0.105524,20190404,20190606,0.413261,20181018,20200806,0.573077,0.078481,0.084598,0.007967,0.471737,5.331507,0.089257,20200706,0.031052,-0.652111,20200203,-0.044935,-1.503437,0.010209,20200629,0.050408,3.937607,20190422,-0.030032,-3.941783,0.028098,20200701,0.100437,2.574520,20190401,-0.049964,-2.778217,0.106036,20190102,0.161002,0.518368,20180102,-0.040309,-1.380142,开放式;债券型 ;低风险,20130319
000015,918,0.150338,0.015295,20200424,20200713,0.171502,20170516,20200506,1.089833,0.040171,0.009332,0.003122,0.469085,5.361644,0.055875,20180418,0.004078,-0.927010,20170207,-0.003381,-1.060515,0.001401,20170612,0.004252,2.035094,20200601,-0.006574,-5.692977,0.004501,20180702,0.013695,2.042669,20170502,-0.005932,-2.317951,0.031320,20180102,0.071906,1.295881,20170103,0.009291,-0.703365,开放式;债券型 ;低风险,20130308
000016,918,0.132819,0.016479,20200429,20200713,0.157849,20170517,20200506,0.571954,0.035490,0.009598,0.002581,0.469085,5.361644,0.050805,20180418,0.004167,-0.917987,20170207,-0.003433,-1.067582,0.001443,20170612,0.004322,1.995465,20200601,-0.006767,-5.690492,0.004439,20180702,0.013256,1.986164,20170502,-0.006029,-2.358209,0.031554,20180102,0.067321,1.133541,20170103,0.004284,-0.864215,开放式;债券型 ;低风险,20130308
