code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
510300,1652,1.097252,0.654456,20161231,20190103,3.402842,20140320,20161231,0.225517,0.162671,0.588298,0.090977,0.129335,34.994522,0.301624,20161231,1.695665,4.621791,20170103,-0.625637,-3.074230,0.093610,20161226,1.686236,17.013506,20150817,-0.115350,-2.232250,0.177776,20161201,1.509520,7.491115,20160104,-0.145061,-1.815973,0.643814,20160104,1.619697,1.515786,20180102,-0.233835,-1.363202,封闭式;股票型 ;高风险,19700101
510310,1652,1.255554,0.460140,20150608,20160128,1.648045,20140320,20200828,0.660613,0.186140,0.236357,0.107509,0.129335,34.994522,0.327886,20150630,0.066976,-0.795733,20150824,-0.087538,-1.266976,0.026326,20141201,0.107750,3.092866,20150817,-0.120039,-5.559634,0.063364,20141201,0.253375,2.998747,20160104,-0.149647,-3.361713,0.293759,20140102,0.549366,0.870125,20180102,-0.246037,-1.837546,封闭式;股票型 ;高风险,19700101
510330,1652,1.163156,0.445762,20150608,20160128,1.559512,20140320,20150608,0.623976,0.172442,0.228281,0.097964,0.129335,34.994522,0.312992,20150630,0.066470,-0.787629,20150824,-0.087507,-1.279581,0.025437,20141201,0.101014,2.971198,20150817,-0.116590,-5.583523,0.060236,20141201,0.232873,2.866002,20160104,-0.147796,-3.453608,0.274112,20140102,0.523580,0.910095,20180102,-0.240970,-1.879093,封闭式;股票型 ;高风险,19700101
510350,290,0.211700,0.159588,20200113,20200323,0.387485,20200323,20200828,0.578919,0.154851,0.215662,0.008944,0.022704,34.994522,0.094575,20200706,0.056135,-0.406448,20200203,-0.078366,-1.828608,0.022012,20200629,0.075689,2.438544,20200713,-0.060285,-3.738769,0.050895,20200701,0.111041,1.181780,20200302,-0.093376,-2.834686,nan,20190520,0.069600,nan,20190520,0.069600,nan,封闭式;股票型 ;高风险,19700101
510360,1245,0.546200,0.305483,20180124,20190103,0.909933,20160128,20200902,0.380402,0.106783,0.201846,0.024951,0.097471,34.994522,0.157959,20190225,0.059016,-0.626382,20200203,-0.077684,-1.491799,0.022368,20151102,0.087910,2.930127,20180205,-0.098993,-5.425605,0.049014,20190201,0.126794,1.586895,20160104,-0.146448,-3.987876,0.244510,20190102,0.405499,0.658413,20180102,-0.243880,-1.997422,封闭式;股票型 ;高风险,19700101
510380,651,0.198660,0.267666,20180312,20190103,0.678894,20190103,20200902,0.202276,0.073615,0.215623,0.013106,0.050967,34.994522,0.114483,20190225,0.059397,-0.481171,20200203,-0.078414,-1.684943,0.023711,20200629,0.076468,2.225054,20200713,-0.058042,-3.447959,0.051855,20190201,0.129432,1.496055,20200302,-0.094266,-2.817889,0.450456,20190102,0.401088,-0.109595,20180119,-0.235953,-1.523809,封闭式;股票型 ;高风险,19700101
510390,675,0.180900,0.310674,20180126,20190103,0.722299,20190103,20200902,0.164012,0.065375,0.215684,0.013099,0.052846,34.994522,0.114452,20190225,0.059668,-0.478660,20200203,-0.079040,-1.690598,0.024694,20200629,0.076533,2.099200,20180205,-0.100705,-5.078023,0.053851,20200701,0.130820,1.429288,20200302,-0.094680,-2.758188,0.337964,20190102,0.404093,0.195671,20180102,-0.267313,-1.790952,封闭式;股票型 ;高风险,19700101
510410,1652,0.054017,0.575528,20150609,20200323,1.365863,20140428,20150609,-0.078456,0.008008,0.280307,0.038005,0.129335,34.994522,0.194948,20150105,0.080409,-0.587536,20150825,-0.095781,-1.491313,0.030657,20160229,0.084478,1.755627,20150629,-0.160850,-6.246837,0.067164,20150401,0.174835,1.603092,20150701,-0.174083,-3.591886,0.243567,20140102,0.320171,0.314511,20180102,-0.331646,-2.361622,封闭式;股票型 ;高风险,19700101
510440,1652,0.579345,0.635326,20150612,20181018,1.991015,20140113,20150612,0.202527,0.085890,0.275963,0.076327,0.129335,34.994522,0.276274,20150713,0.076811,-0.721976,20200203,-0.087919,-1.318231,0.029717,20150518,0.097618,2.284953,20150817,-0.139401,-5.690989,0.065067,20190201,0.157773,1.424757,20160104,-0.215415,-4.310645,0.278784,20140102,0.389589,0.397456,20180102,-0.325855,-2.168842,封闭式;股票型 ;高风险,19700101
510500,1652,0.774909,0.632240,20150612,20181018,2.229095,20140113,20150612,0.303762,0.114883,0.279439,0.101213,0.129335,34.994522,0.318140,20150916,0.067234,-0.788665,20200203,-0.087641,-1.275479,0.030387,20150518,0.098263,2.233702,20150817,-0.134771,-5.435138,0.069848,20150302,0.180836,1.588985,20160104,-0.213822,-4.061236,0.307027,20150105,0.450066,0.465883,20180102,-0.331445,-2.079530,封闭式;股票型 ;高风险,19700101
510510,1652,0.668669,0.649194,20150612,20181018,2.196513,20140113,20150612,0.252428,0.099133,0.273870,0.091514,0.129335,34.994522,0.302513,20150916,0.060520,-0.799942,20200203,-0.086479,-1.285870,0.029843,20150518,0.098200,2.290620,20150817,-0.133030,-5.457746,0.069317,20150302,0.180510,1.604121,20160104,-0.212287,-4.062553,0.288011,20140102,0.380407,0.320806,20180102,-0.328810,-2.141657,封闭式;股票型 ;高风险,19700101
510550,428,0.511102,0.192568,20190404,20190606,0.716226,20190131,20200713,1.023535,0.278436,0.242724,0.026240,0.033508,34.994522,0.161988,20190225,0.053184,-0.671682,20200203,-0.084991,-1.524676,0.024153,20200203,0.082356,2.409762,20200713,-0.077938,-4.226832,0.062703,20190201,0.161610,1.577393,20200302,-0.101437,-2.617746,0.176936,20190104,0.250125,0.413648,20181130,-0.000100,-1.000565,封闭式;股票型 ;高风险,19700101
510560,1292,-0.380805,0.627325,20150612,20181018,0.723420,20181018,20200713,-0.339804,-0.071279,0.298051,0.006275,0.101151,34.994522,0.079217,20150916,0.067236,-0.151241,20150703,-0.171764,-3.168262,0.029508,20200203,0.084600,1.867030,20150630,-0.171764,-6.820965,0.067285,20190201,0.169213,1.514852,20160104,-0.212651,-4.160430,0.243732,20190102,0.275391,0.129892,20180102,-0.334085,-2.370709,封闭式;股票型 ;高风险,19700101
510580,1244,0.038900,0.501945,20151125,20181018,0.834011,20181018,20200713,-0.093274,0.007634,0.239792,0.017619,0.097393,34.994522,0.132737,20150916,0.062661,-0.527933,20200203,-0.087606,-1.659995,0.024785,20200203,0.085578,2.452830,20160125,-0.079860,-4.222112,0.060953,20190201,0.167426,1.746786,20160104,-0.179870,-3.950943,0.264256,20190102,0.304279,0.151458,20180102,-0.368224,-2.393437,封闭式;股票型 ;高风险,19700101
510590,601,0.101000,0.331344,20180522,20181018,0.758449,20181018,20200818,0.039790,0.039984,0.250909,0.013463,0.047052,34.994522,0.116031,20190225,0.055972,-0.517608,20200203,-0.087145,-1.751049,0.026367,20200203,0.084540,2.206281,20181008,-0.079144,-4.001613,0.065929,20190201,0.169311,1.568093,20200302,-0.108693,-2.648654,0.406073,20190102,0.284273,-0.299944,20180323,-0.290000,-1.714158,封闭式;股票型 ;高风险,19700101
510600,499,0.454400,0.152956,20200113,20200323,0.656325,20190102,20200709,0.876869,0.218807,0.215320,0.021191,0.039067,34.994522,0.145573,20200706,0.066443,-0.543578,20200203,-0.069501,-1.477430,0.023414,20200629,0.080108,2.421437,20200713,-0.055172,-3.356426,0.049985,20190102,0.095580,0.912193,20181203,-0.079046,-2.581412,0.344220,20190102,0.417701,0.213470,20180903,-0.069100,-1.200744,封闭式;股票型 ;高风险,19700101
510630,1652,3.538824,0.441351,20150612,20160128,4.715939,20140619,20200902,1.916185,0.524643,0.258139,0.649787,0.129335,34.994522,0.806094,20150710,0.067052,-0.916819,20150824,-0.084437,-1.104748,0.028138,20181029,0.098754,2.509627,20150615,-0.115486,-5.104248,0.062145,20200701,0.165325,1.660296,20160104,-0.148659,-3.392117,0.259001,20190102,0.550416,1.125145,20180102,-0.174680,-1.674437,封闭式;股票型 ;高风险,19700101
510650,1652,1.182449,0.430117,20150608,20150825,1.705969,20140310,20200708,0.578216,0.175302,0.251294,0.134180,0.129335,34.994522,0.366305,20200706,0.089916,-0.754532,20150119,-0.096776,-1.264195,0.030219,20141201,0.170576,4.644724,20180205,-0.128157,-5.241013,0.073900,20141201,0.396707,4.368164,20160104,-0.123998,-2.677920,0.377464,20140102,0.849152,1.249623,20180102,-0.176143,-1.466648,封闭式;股票型 ;高风险,19700101
