code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,428,0.159084,0.048313,20200225,20200323,0.194688,20190103,20200805,0.937179,0.091155,0.065254,0.001896,0.091610,12.800000,0.043548,20190225,0.015456,-0.645069,20200203,-0.021437,-1.492254,0.006842,20200706,0.021025,2.073144,20200224,-0.020270,-3.962832,0.017448,20200701,0.040594,1.326525,20200302,-0.028478,-2.632093,nan,20190102,0.074420,nan,20190102,0.074420,nan,开放式;混合型 ;高风险,20011218
000003,428,0.339549,0.143475,20190404,20190606,0.429929,20190102,20200709,0.945784,0.194561,0.173994,0.008910,0.220051,5.328767,0.094390,20200706,0.059406,-0.370634,20200203,-0.066640,-1.706011,0.021686,20200629,0.129065,4.951635,20200713,-0.061760,-3.847955,0.047846,20200701,0.126719,1.648497,20190401,-0.055055,-2.150681,nan,20190102,0.218527,nan,20190102,0.218527,nan,开放式;债券型 ;低风险,20130320
000004,428,0.338763,0.144459,20190404,20190606,0.429251,20190102,20200709,0.941301,0.194111,0.174345,0.008793,0.220051,5.328767,0.093769,20200706,0.059459,-0.365896,20200203,-0.066640,-1.710686,0.021811,20200629,0.130346,4.976051,20200713,-0.062659,-3.872749,0.047891,20200701,0.125971,1.630351,20190401,-0.055055,-2.149582,nan,20190102,0.221165,nan,20190102,0.221165,nan,开放式;债券型 ;低风险,20130320
000005,428,0.062016,0.019327,20200430,20200930,0.082946,20190102,20200430,0.383165,0.035535,0.014445,0.000639,0.218702,5.361644,0.025283,20200407,0.006473,-0.743990,20200605,-0.002245,-1.088784,0.001956,20200420,0.005116,1.615055,20200601,-0.007205,-4.683176,0.005897,20200401,0.016000,1.713090,20190401,-0.007645,-2.296392,nan,20190102,0.047287,nan,20190102,0.047287,nan,开放式;债券型 ;低风险,20130308
000006,377,0.819800,0.146275,20200225,20200323,1.073454,20190606,20200901,2.257639,0.533381,0.222968,0.090027,0.845291,1.221918,0.300044,20200204,0.041767,-0.860797,20200203,-0.086101,-1.286961,0.024591,20200203,0.102652,3.174406,20200224,-0.057183,-3.325372,0.061957,20200701,0.158217,1.553666,20200302,-0.098502,-2.589846,nan,20190319,0.212000,nan,20190319,0.212000,nan,开放式;混合型 ;高风险,20190319
000008,428,0.472503,0.192728,20190404,20190809,0.617548,20190103,20200713,1.054503,0.270743,0.228300,0.019428,0.220278,5.323287,0.139383,20190225,0.049981,-0.641409,20200203,-0.079213,-1.568314,0.023184,20200203,0.073267,2.160201,20200713,-0.066719,-3.877766,0.061245,20190201,0.147236,1.404062,20200302,-0.099164,-2.619149,nan,20190102,0.252439,nan,20190102,0.252439,nan,开放式;ETF联接基金 ;高风险,20130322
000011,428,0.567023,0.154786,20200113,20200323,0.649509,20190103,20200828,1.775849,0.324904,0.166063,0.019372,0.105679,11.095890,0.139183,20190225,0.030938,-0.777719,20200203,-0.061448,-1.441492,0.017093,20200629,0.052691,2.082645,20200120,-0.035646,-3.085441,0.047466,20200701,0.121922,1.568610,20200302,-0.081115,-2.708901,nan,20190102,0.328161,nan,20190102,0.328161,nan,开放式;混合型 ;高风险,20040811
000014,428,0.343470,0.105524,20190404,20190606,0.391771,20190102,20200806,1.441353,0.196808,0.115730,0.010106,0.219938,5.331507,0.100530,20200706,0.031052,-0.691121,20200203,-0.044935,-1.446985,0.013748,20200629,0.050408,2.666551,20190422,-0.030032,-3.184499,0.038697,20200701,0.100437,1.595433,20190401,-0.049964,-2.291150,nan,20190102,0.161002,nan,20190102,0.161002,nan,开放式;债券型 ;低风险,20130319
000015,428,0.061574,0.015295,20200424,20200713,0.070148,20190102,20200506,0.601636,0.035282,0.008779,0.000450,0.218702,5.361644,0.021212,20200203,0.003723,-0.824482,20200709,-0.002212,-1.104301,0.001297,20190729,0.003802,1.931963,20200601,-0.006574,-6.069362,0.003333,20200401,0.007337,1.201421,20200601,-0.004383,-2.315063,nan,20190102,0.042089,nan,20190102,0.042089,nan,开放式;债券型 ;低风险,20130308
000016,428,0.055152,0.016479,20200429,20200713,0.065528,20190102,20200506,0.176582,0.031602,0.009072,0.000384,0.218702,5.361644,0.019591,20200203,0.003828,-0.804582,20200605,-0.002266,-1.115657,0.001393,20190729,0.003903,1.802662,20200601,-0.006767,-5.858930,0.003395,20200401,0.007547,1.223332,20200601,-0.004511,-2.328984,nan,20190102,0.038391,nan,20190102,0.038391,nan,开放式;债券型 ;低风险,20130308
