code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,245,0.074420,0.038932,20190408,20190606,0.085421,20190103,20190409,0.826555,0.074420,0.053741,0.000335,0.054288,12.364384,0.018300,20190225,0.015456,-0.155386,20190506,-0.017736,-1.969209,0.004443,20190617,0.011249,1.532076,20190422,-0.008679,-2.953513,0.012662,20190201,0.032114,1.536363,20190401,-0.007821,-1.617717,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;混合型 ;高风险,20011218
000003,245,0.218527,0.143475,20190404,20190606,0.218527,20190102,20191231,1.373410,0.218527,0.137269,0.002174,0.137178,4.893151,0.046627,20190819,0.033333,-0.285110,20190506,-0.041314,-1.886040,0.015186,20190617,0.049887,2.285104,20190422,-0.033742,-3.221980,0.032956,20190201,0.064262,0.949939,20190401,-0.055055,-2.670579,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000004,245,0.221165,0.144459,20190404,20190606,0.221165,20190102,20191231,1.384203,0.221165,0.138105,0.002203,0.137178,4.893151,0.046941,20190819,0.033298,-0.290655,20190506,-0.041314,-1.880113,0.015292,20190617,0.049830,2.258489,20190422,-0.033742,-3.206477,0.033469,20190201,0.065463,0.955929,20190401,-0.055055,-2.644963,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000005,245,0.047287,0.009174,20190401,20190506,0.047287,20190102,20191231,1.466684,0.047287,0.011786,0.000179,0.136263,4.926027,0.013381,20190211,0.002313,-0.827142,20190506,-0.001541,-1.115150,0.001311,20190617,0.003067,1.340516,20190408,-0.003060,-3.335144,0.003954,20190506,0.006173,0.560979,20190401,-0.007645,-2.933322,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000006,194,0.212000,0.066295,20190430,20190606,0.292111,20190606,20191231,1.197356,0.212000,0.152002,0.004858,0.675958,0.786301,0.069700,20190722,0.041171,-0.409322,20190506,-0.041310,-1.592678,0.014166,20190617,0.037389,1.639372,20190805,-0.029909,-3.111320,0.015378,20190701,0.041285,1.684731,20190319,0.000200,-0.986994,0.000000,20190319,-999999.000000,0.000000,20190319,999999.000000,0.000000,开放式;混合型 ;高风险,20190319
000008,245,0.252439,0.192728,20190404,20190809,0.374937,20190103,20190404,1.060403,0.252439,0.209768,0.005955,0.137332,4.887671,0.077170,20190225,0.049981,-0.352324,20190506,-0.068376,-1.886040,0.018297,20190617,0.041998,1.295345,20190422,-0.049242,-3.691290,0.058616,20190201,0.147236,1.511858,20190401,-0.070848,-2.208673,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;ETF联接基金 ;高风险,20130322
000011,245,0.328161,0.084074,20190410,20190509,0.336025,20190103,20191231,2.072937,0.328161,0.143835,0.004432,0.062966,10.660274,0.066571,20190225,0.030938,-0.535269,20190506,-0.040035,-1.601384,0.014321,20190325,0.046826,2.269730,20190304,-0.035483,-3.477660,0.033291,20190301,0.062681,0.882822,20190701,-0.026448,-1.794454,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;混合型 ;高风险,20040811
000014,245,0.161002,0.105524,20190404,20190606,0.161002,20190102,20191231,1.484517,0.161002,0.088245,0.001292,0.137101,4.895890,0.035947,20190225,0.020067,-0.441768,20190506,-0.025920,-1.721050,0.010214,20190617,0.029810,1.918504,20190422,-0.030032,-3.940255,0.025656,20190201,0.052860,1.060341,20190401,-0.049964,-2.947486,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;债券型 ;低风险,20130319
000015,245,0.042089,0.002318,20190215,20190306,0.042089,20190102,20191231,1.790733,0.042089,0.006751,0.000161,0.136263,4.926027,0.012678,20190211,0.001549,-0.877802,20190305,-0.000774,-1.061052,0.000887,20190729,0.003802,3.288961,20191028,-0.001505,-2.697512,0.002548,20190102,0.005456,1.140992,20191008,-0.001505,-1.590539,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000016,245,0.038391,0.002296,20190215,20190307,0.038391,20190102,20191231,1.183725,0.038391,0.007089,0.000136,0.136263,4.926027,0.011650,20190107,0.001595,-0.863097,20190226,-0.000872,-1.074819,0.000972,20190729,0.003903,3.015936,20190826,-0.001548,-2.592698,0.002386,20190701,0.005486,1.298776,20191008,-0.001546,-1.647657,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000017,245,0.324793,0.076701,20190403,20190509,0.345327,20190103,20191217,2.326142,0.324793,0.126730,0.007591,0.137718,4.873972,0.087124,20190225,0.031011,-0.644058,20190506,-0.028369,-1.325616,0.011153,20190617,0.035634,2.194967,20190408,-0.017902,-2.605070,0.033200,20190201,0.092076,1.773378,20190401,-0.033997,-2.023994,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;混合型 ;高风险,20130327
000020,245,0.616238,0.128309,20190417,20190606,0.646044,20190103,20191231,2.911724,0.616238,0.201337,0.023094,0.137101,4.895890,0.151966,20190225,0.048279,-0.682301,20190506,-0.064052,-1.421486,0.016832,20190617,0.047667,1.831905,20190422,-0.030248,-2.797064,0.039372,20190201,0.111419,1.829885,20190401,-0.028214,-1.716607,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;混合型 ;高风险,20130319
000021,245,0.254368,0.091351,20190404,20190524,0.261545,20190103,20191231,1.794014,0.254368,0.125065,0.003718,0.074536,9.005480,0.060972,20190225,0.032221,-0.471553,20190506,-0.039116,-1.641544,0.010619,20190617,0.030326,1.855800,20190422,-0.018076,-2.702188,0.026936,20190201,0.074045,1.748949,20190401,-0.035964,-2.335167,0.000000,20190102,-999999.000000,0.000000,20190102,999999.000000,0.000000,开放式;混合型 ;高风险,20061124
