code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
000001,245,-0.064427,0.073725,20160106,20160229,0.033214,20160229,20161114,-1.536633,-0.064427,0.061450,0.000103,0.065090,10.312328,0.010143,20160119,0.009585,-0.055057,20160107,-0.022727,-3.240662,0.006833,20160215,0.010911,0.596769,20160125,-0.022576,-4.303807,0.020843,20160301,0.021467,0.029948,20160104,-0.062205,-3.984495,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;混合型 ;高风险,20011218
000003,245,-0.167347,0.177143,20160104,20161220,0.053588,20160128,20160222,-1.893363,-0.167347,0.104231,0.001010,0.236258,2.841096,0.031786,20160302,0.022493,-0.292360,20160107,-0.024752,-1.778716,0.013677,20160215,0.023140,0.691892,20160118,-0.042992,-4.143352,0.033516,20160301,0.029720,-0.113267,20160104,-0.091429,-3.727889,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000004,245,-0.170712,0.179612,20160104,20161220,0.053153,20160128,20160222,-1.928244,-0.170712,0.104091,0.001050,0.236258,2.841096,0.032403,20160302,0.022401,-0.308662,20160107,-0.024550,-1.757643,0.013601,20160215,0.022058,0.621865,20160118,-0.043478,-4.196814,0.033435,20160301,0.029570,-0.115595,20160104,-0.091424,-3.734397,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130320
000005,245,0.012898,0.021739,20161019,20161220,0.029260,20160105,20161025,-1.504398,0.012898,0.011368,0.000078,0.233556,2.873973,0.008837,20161222,0.001708,-0.806729,20161215,-0.004241,-1.479900,0.001826,20160111,0.002577,0.411726,20161212,-0.007608,-5.167158,0.004445,20160701,0.006791,0.527936,20160401,-0.008511,-2.914796,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000008,245,-0.074322,0.231068,20160106,20160128,0.263302,20160128,20161128,-0.388734,-0.074322,0.268364,0.002324,0.236715,2.835616,0.048209,20160302,0.047357,-0.017681,20160107,-0.074486,-2.545049,0.027979,20160530,0.053836,0.924155,20160125,-0.085709,-4.063349,0.076495,20160301,0.117203,0.532170,20160104,-0.198465,-3.594476,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;ETF联接基金 ;高风险,20130322
000011,245,-0.026712,0.156766,20160106,20160128,0.185191,20160128,20161122,-0.313269,-0.026712,0.181034,0.001250,0.077976,8.608219,0.035352,20160302,0.035693,0.009632,20160107,-0.059672,-2.687945,0.017162,20160215,0.034387,1.003658,20160125,-0.049073,-3.859389,0.047652,20160301,0.060959,0.279261,20160104,-0.125342,-3.630390,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;混合型 ;高风险,20040811
000014,245,0.009574,0.036944,20161024,20161220,0.040175,20160426,20161025,-1.226035,0.009574,0.016661,0.000155,0.236031,2.843836,0.012447,20161222,0.002611,-0.790227,20161215,-0.007745,-1.622280,0.002815,20161219,0.002606,-0.074252,20161212,-0.012831,-5.557467,0.005719,20160601,0.007785,0.361274,20160401,-0.011207,-2.959504,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130319
000015,245,0.009386,0.041017,20161021,20161221,0.042772,20160426,20161025,-1.216501,0.009386,0.016946,0.000163,0.233556,2.873973,0.012752,20161223,0.003413,-0.732355,20161215,-0.007595,-1.595596,0.003130,20160111,0.003407,0.088641,20161212,-0.014262,-5.556859,0.007048,20160601,0.008467,0.201439,20160401,-0.012637,-2.793050,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000016,245,0.005177,0.041597,20161024,20161221,0.040693,20160426,20161024,-1.484475,0.005177,0.016722,0.000144,0.233556,2.873973,0.012014,20161223,0.003463,-0.711748,20161215,-0.007705,-1.641349,0.003146,20161219,0.003463,0.100705,20161212,-0.014468,-5.598372,0.006875,20160601,0.008576,0.247401,20160401,-0.012788,-2.859935,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130308
000017,245,-0.152121,0.178149,20160106,20160311,0.131944,20160311,20160714,-0.930357,-0.152121,0.195754,0.000757,0.237864,2.821918,0.027517,20160202,0.036893,0.340734,20160111,-0.051227,-2.861633,0.024475,20160201,0.048010,0.961566,20160125,-0.093985,-4.840002,0.053738,20160301,0.045738,-0.148865,20160104,-0.159054,-3.959826,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;混合型 ;高风险,20130327
000020,245,-0.058338,0.221017,20160106,20160128,0.298387,20160128,20161011,-0.333726,-0.058338,0.264702,0.002821,0.236031,2.843836,0.053111,20160302,0.052744,-0.006912,20160107,-0.081668,-2.537672,0.028168,20160530,0.065737,1.333787,20160222,-0.074194,-3.634008,0.075990,20160301,0.129722,0.707083,20160104,-0.184074,-3.422329,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;混合型 ;高风险,20130319
000021,245,-0.083055,0.142430,20160106,20160128,0.113047,20160128,20160713,-0.738736,-0.083055,0.153039,0.000461,0.096533,6.953424,0.021468,20160302,0.026515,0.235075,20160107,-0.049801,-3.319720,0.015649,20160215,0.029434,0.880849,20160125,-0.046705,-3.984526,0.044813,20160301,0.067803,0.513035,20160104,-0.121748,-3.716822,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;混合型 ;高风险,20061124
000024,244,0.039494,0.020225,20161128,20161220,0.054502,20160104,20161128,0.716879,0.039494,0.013244,0.000280,0.236893,2.821918,0.016747,20161221,0.002294,-0.863045,20161215,-0.006813,-1.406821,0.002002,20160111,0.004807,1.401482,20161212,-0.008302,-5.147189,0.005015,20160701,0.010015,0.997085,20160401,-0.007758,-2.546945,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130326
000025,244,0.036446,0.020316,20161109,20161220,0.050676,20160104,20161129,0.499337,0.036446,0.012908,0.000248,0.236893,2.821918,0.015736,20161221,0.002304,-0.853579,20161215,-0.006839,-1.434590,0.002032,20160111,0.004732,1.328432,20161212,-0.009091,-5.473411,0.004787,20160701,0.009266,0.935878,20160401,-0.007770,-2.623259,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;债券型 ;低风险,20130326
000029,245,-0.027164,0.214150,20160104,20160229,0.264469,20160229,20161201,-0.257122,-0.027164,0.222321,0.002400,0.241617,2.778082,0.048991,20160216,0.040119,-0.181098,20160225,-0.063390,-2.293917,0.027179,20160314,0.063650,1.341873,20160222,-0.080872,-3.975508,0.076450,20160301,0.156646,1.048995,20160104,-0.160455,-3.098821,0.000000,20160104,-999999.000000,0.000000,20160104,999999.000000,0.000000,开放式;混合型 ;高风险,20130412
