"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年12月30日","3,103.64","3,097.35","3,108.84","3,089.99","13.33B","0.24%"
"2016年12月29日","3,096.10","3,095.84","3,111.80","3,087.34","13.26B","-0.20%"
"2016年12月28日","3,102.24","3,113.77","3,118.78","3,094.55","13.57B","-0.40%"
"2016年12月27日","3,114.66","3,117.39","3,127.88","3,113.75","14.15B","-0.25%"
"2016年12月26日","3,122.57","3,095.58","3,122.88","3,068.41","15.26B","0.40%"
"2016年12月23日","3,110.15","3,134.93","3,138.40","3,103.75","16.62B","-0.94%"
"2016年12月22日","3,139.56","3,132.16","3,143.17","3,126.89","16.78B","0.07%"
"2016年12月21日","3,137.43","3,107.24","3,140.25","3,107.24","18.67B","1.11%"
"2016年12月20日","3,102.88","3,115.90","3,117.01","3,084.80","15.74B","-0.49%"
"2016年12月19日","3,118.08","3,120.70","3,125.28","3,110.08","15.42B","-0.16%"
"2016年12月16日","3,122.98","3,111.51","3,128.87","3,106.35","16.50B","0.17%"
"2016年12月15日","3,117.68","3,125.76","3,138.78","3,100.91","19.00B","-0.73%"
"2016年12月14日","3,140.53","3,149.38","3,170.02","3,136.35","20.14B","-0.46%"
"2016年12月13日","3,155.04","3,138.99","3,162.50","3,118.71","18.52B","0.07%"
"2016年12月12日","3,152.97","3,233.67","3,245.09","3,149.90","27.47B","-2.47%"
"2016年12月9日","3,232.88","3,209.34","3,244.80","3,207.04","20.40B","0.54%"
"2016年12月8日","3,215.37","3,225.55","3,228.12","3,211.47","17.07B","-0.21%"
"2016年12月7日","3,222.24","3,198.47","3,222.43","3,189.49","16.91B","0.71%"
"2016年12月6日","3,199.65","3,202.03","3,215.31","3,196.52","15.76B","-0.16%"
"2016年12月5日","3,204.71","3,203.78","3,219.52","3,194.88","22.30B","-1.21%"
"2016年12月2日","3,243.84","3,270.12","3,279.71","3,235.28","25.96B","-0.90%"
"2016年12月1日","3,273.31","3,257.03","3,279.67","3,256.26","23.78B","0.72%"
"2016年11月30日","3,250.03","3,272.14","3,277.27","3,239.52","24.36B","-1.00%"
"2016年11月29日","3,282.92","3,269.23","3,301.21","3,263.40","32.08B","0.18%"
"2016年11月28日","3,277.00","3,270.05","3,288.34","3,267.67","28.16B","0.46%"
"2016年11月25日","3,261.94","3,241.24","3,262.44","3,209.60","23.39B","0.62%"
"2016年11月24日","3,241.74","3,237.43","3,257.86","3,232.87","23.23B","0.02%"
"2016年11月23日","3,241.14","3,247.94","3,262.88","3,231.59","25.00B","-0.22%"
